,id,date,price,sqft_lot,zipcode
93,6021501535,2014-07-25,430000.0,5000,98117
94,6021501535,2014-12-23,700000.0,5000,98117
313,4139480200,2014-06-18,1380000.0,12103,98006
314,4139480200,2014-12-09,1400000.0,12103,98006
324,7520000520,2014-09-05,232000.0,12092,98146
325,7520000520,2015-03-11,240500.0,12092,98146
345,3969300030,2014-07-23,165000.0,7134,98178
346,3969300030,2014-12-29,239900.0,7134,98178
371,2231500030,2014-10-01,315000.0,10754,98133
372,2231500030,2015-03-24,530000.0,10754,98133
717,8820903380,2014-07-28,452000.0,13579,98125
718,8820903380,2015-01-02,730000.0,13579,98125
823,726049190,2014-10-02,287500.0,7200,98133
824,726049190,2015-02-18,431000.0,7200,98133
836,8682262400,2014-07-18,430000.0,4003,98053
837,8682262400,2015-05-13,419950.0,4003,98053
1084,9834200885,2014-07-17,360000.0,4080,98144
1085,9834200885,2015-04-20,550000.0,4080,98144
1127,8062900070,2014-09-09,272000.0,6300,98056
1128,8062900070,2015-02-13,369000.0,6300,98056
1200,1231000510,2014-09-22,263000.0,3800,98118
1201,1231000510,2015-05-04,510000.0,3800,98118
1232,6117501820,2014-06-18,250275.0,11234,98166
1233,6117501820,2015-04-28,435000.0,11234,98166
1448,2228900270,2014-08-12,215000.0,6000,98133
1449,2228900270,2015-02-12,302000.0,6000,98133
1462,3630120700,2014-05-13,757000.0,5283,98029
1463,3630120700,2015-01-07,765000.0,5283,98029
1574,7888000390,2014-06-27,140000.0,7473,98198
1575,7888000390,2015-04-01,235000.0,7473,98198
1862,2143700830,2014-10-06,207000.0,19680,98055
1863,2143700830,2015-03-12,370000.0,19680,98055
2036,3395040550,2014-07-28,250000.0,2890,98108
2037,3395040550,2015-04-29,320000.0,2890,98108
2124,4345000510,2014-10-15,180500.0,8518,98030
2125,4345000510,2015-04-28,325000.0,8518,98030
2491,9407110710,2014-11-07,195000.0,8400,98045
2492,9407110710,2015-02-26,322000.0,8400,98045
2494,1000102,2014-09-16,280000.0,9373,98002
2495,1000102,2015-04-22,300000.0,9373,98002
2500,1781500435,2014-08-20,260000.0,7344,98126
2501,1781500435,2015-02-25,575000.0,7344,98126
2529,1232000810,2014-09-12,340000.0,4800,98117
2530,1232000810,2015-03-26,537000.0,4800,98117
2562,7856400240,2014-06-27,1620000.0,9750,98006
2563,7856400240,2015-02-11,1650000.0,9750,98006
2629,7983000200,2014-10-05,169575.0,8284,98003
2630,7983000200,2015-02-25,250000.0,8284,98003
2974,9136103130,2014-12-01,430000.0,4013,98103
2975,9136103130,2015-05-12,685000.0,4013,98103
3031,5083000375,2014-10-27,170000.0,9529,98198
3032,5083000375,2015-03-19,235000.0,9529,98198
3295,7409700215,2014-06-06,550000.0,5000,98115
3296,7409700215,2015-03-13,921500.0,5000,98115
3536,1823049202,2014-06-10,175000.0,8400,98146
3537,1823049202,2015-01-07,326000.0,8400,98146
3619,2767602141,2014-09-05,525000.0,4290,98107
3620,2767602141,2014-12-22,650000.0,4290,98107
3752,1254200015,2014-12-16,405000.0,5500,98117
3753,1254200015,2015-04-08,625000.0,5500,98117
3781,723049156,2014-05-23,149000.0,8645,98146
3782,723049156,2014-11-12,284700.0,8645,98146
3789,4435000705,2014-07-08,160000.0,8700,98188
3790,4435000705,2015-03-09,255500.0,8700,98188
3874,4364700600,2014-12-16,216000.0,7920,98126
3875,4364700600,2015-03-30,390000.0,7920,98126
3946,1825069031,2014-08-14,550000.0,8447,98074
3947,1825069031,2014-10-16,550000.0,8447,98074
4073,3262300940,2014-11-07,875000.0,8119,98039
4074,3262300940,2015-02-10,940000.0,8119,98039
4338,9353300600,2014-06-24,348500.0,10726,98059
4339,9353300600,2015-03-26,370000.0,10726,98059
4867,1524079093,2014-08-27,275000.0,20700,98024
4868,1524079093,2015-03-18,369500.0,20700,98024
4917,9809000020,2014-05-13,1900000.0,16672,98004
4918,9809000020,2015-03-13,1940000.0,16672,98004
5239,3303000130,2015-01-16,370000.0,7667,98177
5240,3303000130,2015-04-28,520000.0,7667,98177
5246,7524400250,2014-08-22,424240.0,12094,98052
5247,7524400250,2014-11-24,589950.0,12094,98052
5267,4204400098,2015-01-19,250000.0,8250,98055
5268,4204400098,2015-04-21,385000.0,8250,98055
5335,6632900574,2014-08-06,367500.0,10064,98155
5336,6632900574,2015-02-25,595000.0,10064,98155
5587,2726049071,2014-12-11,510000.0,4206,98125
5588,2726049071,2015-04-08,489950.0,4206,98125
5689,3578401060,2014-12-16,345000.0,9672,98074
5690,3578401060,2015-05-04,625000.0,9672,98074
5718,1788800630,2014-10-29,96500.0,12091,98023
5719,1788800630,2015-02-25,185000.0,12091,98023
5751,6381500170,2014-08-26,235000.0,7617,98125
5752,6381500170,2015-01-16,365000.0,7617,98125
5753,1954420170,2014-05-21,368250.0,7484,98074
5754,1954420170,2014-11-13,580000.0,7484,98074
5966,1545800290,2014-09-05,215000.0,6675,98038
5967,1545800290,2015-04-08,315000.0,6675,98038
6339,9828200460,2014-06-27,260000.0,4800,98122
6340,9828200460,2015-01-06,430000.0,4800,98122
6365,9222400605,2014-11-15,842500.0,4500,98115
6366,9222400605,2015-04-11,850000.0,4500,98115
6428,8832900780,2014-10-13,480000.0,21562,98028
6429,8832900780,2015-04-08,647500.0,21562,98028
6527,8645530010,2014-05-15,225000.0,7384,98058
6528,8645530010,2015-03-25,295000.0,7384,98058
6624,3323059027,2014-05-28,326000.0,28000,98058
6625,3323059027,2015-02-25,340000.0,28000,98058
6713,5417600130,2014-10-10,244500.0,9000,98065
6714,5417600130,2015-05-12,301000.0,9000,98065
6783,8651510380,2014-08-21,310000.0,9195,98074
6784,8651510380,2014-12-16,539000.0,9195,98074
6896,5249801440,2014-12-16,250000.0,7650,98118
6897,5249801440,2015-04-22,570000.0,7650,98118
7171,526059224,2014-09-23,260000.0,7276,98011
7172,526059224,2015-02-06,470000.0,7276,98011
7238,1446403850,2014-09-16,118125.0,7153,98168
7239,1446403850,2015-01-14,212000.0,7153,98168
7785,251300110,2014-07-31,225000.0,12013,98003
7786,251300110,2015-01-14,358000.0,12013,98003
7838,4139420590,2014-05-20,1210000.0,16643,98006
7839,4139420590,2014-08-27,1200000.0,16643,98006
7840,2621600015,2015-01-21,120000.0,8924,98030
7841,2621600015,2015-04-30,175000.0,8924,98030
8004,2206700215,2014-08-22,375000.0,9822,98006
8005,2206700215,2015-04-22,550000.0,9822,98006
8118,2787460720,2015-02-27,200000.0,7896,98031
8119,2787460720,2015-05-06,259950.0,7896,98031
8267,3883800011,2014-11-05,82000.0,10426,98146
8268,3883800011,2015-04-08,219900.0,10426,98146
8333,4154300296,2014-09-26,235000.0,5030,98118
8334,4154300296,2015-03-18,545000.0,5030,98118
8426,1721801010,2014-09-03,225000.0,6120,98146
8427,1721801010,2015-04-24,302100.0,6120,98146
8496,1237500540,2014-10-21,225000.0,10866,98052
8497,1237500540,2014-12-22,270000.0,10866,98052
8523,5101405604,2014-08-14,350000.0,6380,98125
8524,5101405604,2015-04-28,395000.0,6380,98125
8621,5127001320,2014-11-25,190000.0,9600,98059
8622,5127001320,2015-02-23,314950.0,9600,98059
8895,5282200015,2014-05-27,525000.0,3800,98115
8896,5282200015,2015-01-26,840000.0,3800,98115
8906,7977201065,2014-11-04,350000.0,4590,98115
8907,7977201065,2015-03-05,740000.0,4590,98115
9007,3739500096,2015-01-26,229000.0,6000,98155
9008,3739500096,2015-05-05,430000.0,6000,98155
9105,1568100300,2014-09-17,350000.0,8504,98155
9106,1568100300,2015-01-21,682500.0,8504,98155
9111,1922059278,2014-10-14,145000.0,11880,98030
9112,1922059278,2015-03-05,255000.0,11880,98030
9225,302000375,2014-08-14,169100.0,18304,98001
9226,302000375,2015-05-06,250000.0,18304,98001
9266,722039087,2014-09-23,220500.0,57499,98070
9267,722039087,2015-05-04,329000.0,57499,98070
9268,8129700644,2014-07-03,715000.0,2250,98103
9269,8129700644,2015-04-24,780000.0,2250,98103
9270,4443800385,2014-08-18,410000.0,4080,98117
9271,4443800385,2015-05-06,778100.0,4080,98117
9383,2212200100,2014-10-22,229950.0,7670,98031
9384,2212200100,2015-04-22,344900.0,7670,98031
9430,4302201085,2014-09-18,248000.0,7680,98106
9431,4302201085,2015-05-06,546940.0,7680,98106
9480,5054800110,2014-10-16,238000.0,9652,98055
9481,5054800110,2015-02-13,328000.0,9652,98055
9497,8103000110,2014-06-03,280000.0,15641,98146
9498,8103000110,2015-02-05,490000.0,15641,98146
9711,2568300045,2014-06-25,305000.0,8240,98125
9712,2568300045,2015-03-19,649950.0,8240,98125
9810,3598600049,2014-10-03,124000.0,7203,98168
9811,3598600049,2015-04-24,224000.0,7203,98168
9865,1219000473,2014-06-26,164950.0,15330,98166
9866,1219000473,2015-03-23,371000.0,15330,98166
10210,3293700496,2014-08-14,270000.0,7730,98133
10211,3293700496,2014-12-04,450000.0,7730,98133
10215,8945100320,2014-05-06,136500.0,8580,98023
10216,8945100320,2014-10-08,224097.0,8580,98023
10242,2422049104,2014-09-15,85000.0,9000,98032
10243,2422049104,2014-12-30,235000.0,9000,98032
10246,1995200200,2014-05-06,313950.0,6083,98115
10247,1995200200,2014-10-08,415000.0,6083,98115
10261,1450100390,2014-09-05,125000.0,7314,98002
10262,1450100390,2015-03-16,208000.0,7314,98002
10308,6623400187,2014-09-23,185000.0,8906,98055
10309,6623400187,2015-02-20,365000.0,8906,98055
10598,2767603612,2014-05-12,500000.0,1334,98107
10599,2767603612,2015-01-13,489000.0,1334,98107
10904,7227800055,2014-09-09,199500.0,8116,98056
10905,7227800055,2014-11-24,247000.0,8116,98056
10957,3271300955,2014-07-03,554729.0,4350,98199
10958,3271300955,2015-02-24,868000.0,4350,98199
11049,6141100320,2014-07-07,245000.0,6685,98133
11050,6141100320,2015-02-13,570000.0,6685,98133
11182,1139600270,2014-07-01,300000.0,9620,98023
11183,1139600270,2015-03-24,310000.0,9620,98023
11190,8161020060,2014-06-20,443500.0,21781,98014
11191,8161020060,2015-04-14,471000.0,21781,98014
11275,5101402435,2014-06-03,312000.0,5338,98115
11276,5101402435,2015-03-04,539000.0,5338,98115
11350,7701960990,2014-06-16,862000.0,14565,98077
11351,7701960990,2014-08-19,870000.0,14565,98077
11421,109200390,2014-08-20,245000.0,3900,98023
11422,109200390,2014-10-20,250000.0,3900,98023
11446,4305200070,2014-05-19,350000.0,7200,98007
11447,4305200070,2014-09-22,561000.0,7200,98007
11574,8807810890,2014-08-27,259875.0,21303,98053
11575,8807810890,2014-11-05,385000.0,21303,98053
11763,2892700041,2014-07-14,168000.0,7439,98055
11764,2892700041,2015-01-28,238000.0,7439,98055
12018,7230400400,2014-09-26,240000.0,17652,98059
12019,7230400400,2015-03-26,415500.0,17652,98059
12053,1036400200,2015-02-13,661000.0,13125,98052
12054,1036400200,2015-04-29,697000.0,13125,98052
12109,7520000695,2014-11-04,151100.0,4495,98146
12110,7520000695,2015-04-21,251000.0,4495,98146
12196,4031000520,2014-07-08,115000.0,9812,98001
12197,4031000520,2014-11-25,227000.0,9812,98001
12320,5430300171,2014-07-03,430000.0,5080,98115
12321,5430300171,2015-01-29,615500.0,5080,98115
12326,5132000140,2014-06-18,175000.0,5080,98106
12327,5132000140,2015-01-20,415000.0,5080,98106
12365,7899800045,2014-08-28,107000.0,5120,98106
12366,7899800045,2014-12-02,232900.0,5120,98106
12376,3935900232,2014-09-29,207000.0,5546,98125
12377,3935900232,2015-01-12,237000.0,5546,98125
12405,123039336,2014-06-11,148000.0,8261,98106
12406,123039336,2014-12-08,244900.0,8261,98106
12422,1217000340,2014-06-06,185000.0,8100,98166
12423,1217000340,2015-02-19,340000.0,8100,98166
12819,9238500040,2014-06-24,400000.0,23100,98072
12820,9238500040,2015-02-10,599000.0,23100,98072
12907,8910500150,2014-05-29,329932.0,5040,98133
12908,8910500150,2015-01-20,539000.0,5040,98133
