id,price,date,yr_sold,yr_built,age_at_sale,reno,yr_renovated,condition,grade,view,floors,bedrooms,bathrooms,basement,sqft_lot,sqft_living,sqft_basement,sqft_above,sqft_living15,sqft_lot15,lat,long,zipcode
7129300520,221900,2014-10-13,2014,1955,59,0,0,3,7,0,1.0,3,1.0,0,5650,1180,0,1180,1340,5650,47.5112,-122.257,98178
6414100192,538000,2014-12-09,2014,1951,63,1,1991,3,7,0,2.0,3,2.25,1,7242,2570,400,2170,1690,7639,47.721000000000004,-122.319,98125
5631500400,180000,2015-02-25,2015,1933,82,0,0,3,6,0,1.0,2,1.0,0,10000,770,0,770,2720,8062,47.7379,-122.23299999999999,98028
2487200875,604000,2014-12-09,2014,1965,49,0,0,5,7,0,1.0,4,3.0,1,5000,1960,910,1050,1360,5000,47.5208,-122.39299999999999,98136
1954400510,510000,2015-02-18,2015,1987,28,0,0,3,8,0,1.0,3,2.0,0,8080,1680,0,1680,1800,7503,47.6168,-122.045,98074
7237550310,1230000,2014-05-12,2014,2001,13,0,0,3,11,0,1.0,4,4.5,1,101930,5420,1530,3890,4760,101930,47.6561,-122.005,98053
1321400060,257500,2014-06-27,2014,1995,19,0,0,3,7,0,2.0,3,2.25,0,6819,1715,0,1715,2238,6819,47.3097,-122.32700000000001,98003
2414600126,229500,2015-04-15,2015,1960,55,0,0,3,7,0,1.0,3,1.0,1,7470,1780,730,1050,1780,8113,47.5123,-122.337,98146
3793500160,323000,2015-03-12,2015,2003,12,0,0,3,7,0,2.0,3,2.5,0,6560,1890,0,1890,2390,7570,47.3684,-122.031,98038
1736800520,662500,2015-04-03,2015,1965,50,0,0,3,8,0,1.0,3,2.5,1,9796,3560,1700,1860,2210,8925,47.6007,-122.145,98007
9212900260,468000,2014-05-27,2014,1942,72,0,0,4,7,0,1.0,2,1.0,1,6000,1160,300,860,1330,6000,47.69,-122.292,98115
114101516,310000,2014-05-28,2014,1927,87,0,0,4,7,0,1.5,3,1.0,0,19901,1430,0,1430,1780,12697,47.7558,-122.229,98028
6054650070,400000,2014-10-07,2014,1977,37,0,0,4,7,0,1.0,3,1.75,0,9680,1370,0,1370,1370,10208,47.6127,-122.045,98074
1175000570,530000,2015-03-12,2015,1900,115,0,0,3,7,0,1.5,5,2.0,0,4850,1810,0,1810,1360,4850,47.67,-122.39399999999999,98107
9297300055,650000,2015-01-24,2015,1979,36,0,0,3,9,3,2.0,4,3.0,1,5000,2950,970,1980,2140,4000,47.5714,-122.375,98126
1875500060,395000,2014-07-31,2014,1994,20,0,0,3,7,0,2.0,3,2.0,0,14040,1890,0,1890,1890,14018,47.7277,-121.962,98019
6865200140,485000,2014-05-29,2014,1916,98,0,0,4,7,0,1.5,4,1.0,0,4300,1600,0,1600,1610,4300,47.6648,-122.34299999999999,98103
16000397,189000,2014-12-05,2014,1921,93,0,0,4,7,0,1.0,2,1.0,0,9850,1200,0,1200,1060,5095,47.3089,-122.21,98002
7983200060,230000,2015-04-24,2015,1969,46,0,0,4,7,0,1.0,3,1.0,0,9774,1250,0,1250,1280,8850,47.3343,-122.306,98003
6300500875,385000,2014-05-14,2014,1947,67,0,0,4,7,0,1.0,4,1.75,1,4980,1620,760,860,1400,4980,47.7025,-122.34100000000001,98133
2524049179,2000000,2014-08-26,2014,1968,46,0,0,3,9,4,1.0,3,2.75,1,44867,3050,720,2330,4110,20336,47.5316,-122.23299999999999,98040
7137970340,285000,2014-07-03,2014,1995,19,0,0,3,8,0,2.0,5,2.5,0,6300,2270,0,2270,2240,7005,47.3266,-122.169,98092
8091400200,252700,2014-05-16,2014,1985,29,0,0,3,7,0,1.0,2,1.5,0,9643,1070,0,1070,1220,8386,47.3533,-122.166,98030
3814700200,329000,2014-11-20,2014,1985,29,0,0,4,8,0,2.0,3,2.25,0,6500,2450,0,2450,2200,6865,47.3739,-122.17200000000001,98030
1202000200,233000,2014-11-03,2014,1941,73,0,0,5,6,0,1.5,3,2.0,0,4697,1710,0,1710,1030,4705,47.3048,-122.21799999999999,98002
1794500383,937000,2014-06-26,2014,1915,99,0,0,3,8,0,2.0,3,1.75,1,2691,2450,700,1750,1760,3573,47.6386,-122.36,98119
3303700376,667000,2014-12-01,2014,1909,105,0,0,5,8,0,1.5,3,1.0,0,1581,1400,0,1400,1860,3861,47.6221,-122.314,98112
5101402488,438000,2014-06-24,2014,1948,66,0,0,3,7,0,1.0,3,1.75,1,6380,1520,730,790,1520,6235,47.695,-122.304,98115
1873100390,719000,2015-03-02,2015,2005,10,0,0,3,8,0,2.0,4,2.5,0,7173,2570,0,2570,2630,6026,47.7073,-122.11,98052
8562750320,580500,2014-11-10,2014,2003,11,0,0,3,8,0,2.0,3,2.5,0,3980,2320,0,2320,2580,3980,47.5391,-122.07,98027
2426039314,280000,2014-12-01,2014,2005,9,0,0,3,7,0,3.0,2,1.5,0,1265,1190,0,1190,1390,1756,47.7274,-122.35700000000001,98133
461000390,687500,2014-06-24,2014,1929,85,0,0,4,7,0,1.5,4,1.75,1,5000,2330,820,1510,1460,5000,47.6823,-122.368,98117
7589200193,535000,2014-11-10,2014,1929,85,0,0,4,8,0,1.5,3,1.0,0,3000,1090,0,1090,1570,5080,47.6889,-122.375,98117
7955080270,322500,2014-12-03,2014,1981,33,0,0,3,7,0,1.0,4,2.75,1,6659,2060,780,1280,2020,8720,47.4276,-122.15700000000001,98058
9547205180,696000,2014-06-13,2014,1930,84,1,2002,3,8,0,1.5,3,2.5,1,3060,2300,790,1510,1590,3264,47.6827,-122.31,98115
9435300030,550000,2014-05-28,2014,1933,81,0,0,1,5,0,1.0,4,1.0,1,34848,1660,730,930,2160,11467,47.6621,-122.132,98052
2768000400,640000,2014-12-30,2014,1904,110,0,0,4,8,0,2.0,4,2.0,0,6000,2360,0,2360,1730,4700,47.6702,-122.36200000000001,98107
7895500070,240000,2015-02-13,2015,1969,46,0,0,2,7,0,1.0,4,1.0,1,8075,1220,330,890,1290,7800,47.3341,-122.28200000000001,98001
2078500320,605000,2014-06-20,2014,1996,18,0,0,3,8,0,2.0,4,2.5,0,7553,2620,0,2620,2620,11884,47.5301,-122.18,98056
5547700270,625000,2014-07-15,2014,2000,14,0,0,3,9,0,2.0,4,2.5,0,5520,2570,0,2570,2470,5669,47.6145,-122.027,98074
7766200013,775000,2014-08-11,2014,1984,30,0,0,3,8,0,1.0,4,2.25,1,24186,4220,1620,2600,2410,30617,47.445,-122.34700000000001,98166
7203220400,861990,2014-07-07,2014,2014,0,0,0,3,9,0,2.0,5,2.75,0,5639,3595,0,3595,3625,5639,47.6848,-122.016,98053
9270200160,685000,2014-10-28,2014,1922,92,0,0,3,7,0,2.0,3,1.0,0,2280,1570,0,1570,1580,2640,47.6413,-122.36399999999999,98119
1432701230,309000,2014-07-29,2014,1959,55,0,0,4,6,0,1.0,3,1.0,1,9656,1280,360,920,1340,8808,47.4485,-122.175,98058
8035350320,488000,2014-07-18,2014,2003,11,0,0,3,8,0,2.0,3,2.5,0,13603,3160,0,3160,3050,9232,47.7443,-121.977,98019
8945200830,210490,2015-03-25,2015,1966,49,0,0,3,6,0,1.0,3,1.0,0,8528,990,0,990,1228,8840,47.3066,-122.37100000000001,98023
4178300310,785000,2014-07-16,2014,1981,33,0,0,4,9,0,2.0,4,2.5,0,13416,2290,0,2290,2680,13685,47.6194,-122.15100000000001,98007
9215400105,450000,2015-04-28,2015,1953,62,0,0,4,7,0,1.0,3,1.75,0,5963,1250,0,1250,970,5100,47.6796,-122.301,98115
822039084,1350000,2015-03-11,2015,1953,62,0,0,5,9,2,1.0,3,2.5,1,65005,2753,588,2165,2680,72513,47.4041,-122.45100000000001,98070
5245600105,228000,2014-09-16,2014,1955,59,0,0,3,7,0,1.0,3,1.0,0,9199,1190,0,1190,1190,9364,47.4258,-122.322,98148
7231300125,345000,2015-02-17,2015,1966,49,0,0,4,8,0,1.0,5,2.5,1,9134,3150,1510,1640,1990,9133,47.4934,-122.189,98056
7518505990,600000,2014-12-31,2014,1950,64,0,0,4,7,0,1.0,3,1.75,1,4080,1410,410,1000,1410,4080,47.6808,-122.384,98117
3626039271,585000,2015-02-05,2015,1981,34,0,0,3,7,0,1.0,2,1.75,1,8550,1980,990,990,1480,6738,47.6989,-122.369,98117
4217401195,920000,2015-03-03,2015,1927,88,0,0,3,8,0,1.5,5,2.25,1,6000,2730,600,2130,2730,6000,47.6571,-122.281,98105
9822700295,885000,2014-05-12,2014,1995,19,0,0,3,9,0,2.0,4,2.5,0,5000,2830,0,2830,1950,5000,47.6597,-122.29,98105
9478500640,292500,2014-08-19,2014,2008,6,0,0,3,7,0,2.0,4,2.5,0,4495,2250,0,2250,2250,4500,47.3663,-122.11399999999999,98042
2799800710,301000,2015-04-07,2015,2003,12,0,0,3,8,0,2.0,3,2.5,0,4750,2420,0,2420,2690,4750,47.3663,-122.12200000000001,98042
7922800400,951000,2014-08-27,2014,1968,46,0,0,4,8,4,2.0,5,3.25,0,14342,3250,0,3250,2960,11044,47.588,-122.116,98008
8079040320,430000,2015-02-23,2015,1991,24,0,0,3,8,0,2.0,4,3.0,0,9976,1850,0,1850,2270,8542,47.5059,-122.149,98059
